open_uuid,open_test_uuid,time_utc,cat_technology,network_type,lat,long,loc_src,loc_accuracy,region,municipality,settlement,whitespot,zip_code,download_kbit,upload_kbit,ping_ms,lte_rsrp,server_name,test_duration,num_threads,platform,model,client_version,network_mcc_mnc,network_name,sim_mcc_mnc,nat_type,asn,ip_anonym,ndt_download_kbit,ndt_upload_kbit,implausible,signal_strength,speed_test_duration_ms,cell_id,lac,tags,test_type,additional_report_fields,tcp_open,tcp_total,udp_open,udp_total,packet_loss_down,packet_loss_up,peak_down_kbit,peak_up_kbit
P999a010f-8a82-4e64-9f78-ef4e1ebef114,Od7d65dbc-a9e4-4f41-b044-6f0291df6fa4,2020-09-01 00:00:25,LAN,LAN,49.843386599999995,13.222750600000001,Browser,30.0,,,,,,27050,4953,24.433702,,CZ.NIC,5,3,,Firefox,0.8.0,,,,,16019,46.135.36,,,false,,20536.856,,,{},FULL_TEST,,,,,,,,,
Pfef023d0-f947-42c3-afcb-d99a9b923455,O4e47e5e6-1f6f-42b7-8c71-3f55d66763de,2020-09-01 00:00:25,LAN,LAN,,,,,,,,,,42002,7635,3.11,,CZ.NIC,5,3,,CZ.NIC Turris Mox Board,0.3,,,,,39736,185.228.164,,,false,,23690.378,,,{},FULL_TEST,,,,,,,,,
P1dda7c96-d04d-4abe-90a6-5d5355711e2d,Ocb328feb-0631-4911-a10d-4d5a62588f2c,2020-09-01 00:00:26,LAN,LAN,,,,,,,,,,9430,21580,269.22,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,9534,121.120.110,,,false,,39682.434,,,{},FULL_TEST,,,,,,,,,
P4e161e10-2133-4145-9e44-0f44c1bb2abe,O6c3303a0-bf2f-4170-a38b-f912809a9fad,2020-09-01 00:00:27,LAN,LAN,,,,,,,,,,29345,9999,6.276,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,197879,185.60.105,,,false,,20490.844,,,{},FULL_TEST,,,,,,,,,
P60fa00ce-7910-4578-abc8-412902d7f55b,Oc2ea5b56-25ad-4c14-b3f8-f112561e8764,2020-09-01 00:00:31,LAN,LAN,,,,,,,,,,101019,145072,23.889,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,3265,2001:985:d31::,,,false,,23961.523,,,{},FULL_TEST,,,,,,,,,
P6b141a83-efaf-4ed0-8e65-a59d0984da40,Oa1cafa2e-846e-42c6-8c7b-8a7ddefdbead,2020-09-01 00:00:34,LAN,LAN,,,,,,,,,,93929,76998,135.253,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,15802,5.30.222,,,false,,30067.536,,,{},FULL_TEST,,,,,,,,,
Pf6b4da38-6034-411e-a2d4-c7b009d5a8b8,Od949fa67-ec2f-468f-8c58-b51a218800d2,2020-09-01 00:00:44,LAN,LAN,,,,,,,,,,227860,23674,5.831,,CZ.NIC,5,3,,Turris,0.3,,,,,21430,81.0.198,,,false,,26308.333000000002,,,{},FULL_TEST,,,,,,,,,
P743fe93c-c949-4cd6-b9ff-ee42325a8f12,O8c2dbe56-0f42-47bc-9b50-55dde22f7acc,2020-09-01 00:00:45,LAN,LAN,,,,,,,,,,98458,49218,8.042,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,52058,46.174.60,,,false,,22090.339,,,{},FULL_TEST,,,,,,,,,
P3d6d46b3-8f9d-4eed-b2d3-056c1b1dff8f,O91c19c52-3748-4c4f-ba34-378f180680bd,2020-09-01 00:00:50,LAN,LAN,,,,,,,,,,109908,109584,1.48,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,44489,178.255.168,,,false,,23262.27,,,{},FULL_TEST,,,,,,,,,
P27b8570a-8b15-4dae-b47e-c6570ba80a1c,O04f966b0-5098-4681-baaf-9c6590613214,2020-09-01 00:00:57,LAN,LAN,,,,,,,,,,344016,37562,126.0,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,7922,24.99.173,,,false,,34870.08,,,{},FULL_TEST,,,,,,,,,
Pb06d04fc-2332-4abc-bfdd-e27261e5caa6,O1488c73c-149b-41ee-817e-8f20b8c008e1,2020-09-01 00:01:05,LAN,LAN,,,,,,,,,,33064,9748,3.736,,CZ.NIC,5,3,,Turris,0.3,,,,,199490,185.14.233,,,false,,21745.436,,,{},FULL_TEST,,,,,,,,,
P8c565ec9-ad88-4ec3-a999-2a5453140b2a,Ob24655e4-f67c-422d-a916-5cf29bcd0851,2020-09-01 00:01:09,LAN,LAN,,,,,,,,,,94488,9499,41.0,,CZ.NIC,5,3,,CZ.NIC Turris Mox Board,0.3,,,,,6848,94.226.78,,,false,,30278.157,,,{},FULL_TEST,,,,,,,,,
Pae77f312-96ee-4c95-8a35-eec55db94e72,Ob089efd6-6ba7-42c6-b181-8cd59cb3ee04,2020-09-01 00:01:15,LAN,LAN,,,,,,,,,,150011,10047,8.966,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,16019,94.112.9,,,false,,23471.561,,,{},FULL_TEST,,,,,,,,,
Pb8572c0d-c18a-4c2f-96df-9aa94751a271,O0ebb310f-b2ed-47b9-b207-eea181b7693f,2020-09-01 00:01:16,LAN,LAN,,,,,,,,,,376464,11596,34.057,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,20880,37.120.23,,,false,,27427.633,,,{},FULL_TEST,,,,,,,,,
P0b2e8318-ae32-4a95-b945-a5e8b47e9a0b,Oea4a1550-d041-4148-b73e-94573a51bf8c,2020-09-01 00:01:18,LAN,LAN,,,,,,,,,,49465,1952,4.401,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,44489,178.255.168,,,false,,22571.627,,,{},FULL_TEST,,,,,,,,,
P3cf672bd-3f93-46db-9141-e4925f789612,O684779c2-0930-4141-bae9-e25defe9a8d1,2020-09-01 00:01:20,LAN,LAN,,,,,,,,,,76480,10045,6.316,,CZ.NIC,5,3,,Turris,0.3,,,,,16019,86.49.114,,,false,,22060.355,,,{},FULL_TEST,,,,,,,,,
Ped6c9e9a-06c1-4891-b924-15425d278043,Oaea7dde0-70b1-45c4-bbaf-43c8f3b851ea,2020-09-01 00:01:22,LAN,LAN,,,,,,,,,,93833,93835,3.407,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,56360,46.234.162,,,false,,22402.287,,,{},FULL_TEST,,,,,,,,,
Pba9fc415-389d-4a07-ba39-d0852273e479,O295d8a85-e0b6-4647-8cdd-08b2933428e9,2020-09-01 00:01:26,LAN,LAN,,,,,,,,,,31850,14477,3.99,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,42189,77.240.107,,,false,,21274.282,,,{},FULL_TEST,,,,,,,,,
